name,id,description,external_url,background_color,image
ODENPETS #00001,1,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00002,2,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00003,3,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00004,4,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00005,5,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00006,6,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00007,7,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00008,8,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00009,9,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00010,10,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00011,11,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00012,12,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00013,13,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00014,14,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00015,15,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00016,16,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00017,17,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00018,18,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00019,19,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00020,20,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00021,21,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00022,22,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00023,23,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00024,24,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00025,25,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
ODENPETS #00026,26,"ODEN PETS is a collection of 10,000 kawaii little animals. Just like ODEN, a traditional Japanese food, various characters are mixed together to create ""KAWAII"".",https://twitter.com/DAO_ODEN,FFFFFF,https://odendao.s3.ap-northeast-1.amazonaws.com/V1/collection/odenpets/before/pics/before.gif
